Stack, Frequency
 ,2157286
ཧཱུྃ,8663
:,3195
।,2033
ऽ,1527
ཪྻ,830
མ྄,821
ཧུྃ,546
ས྄,499
རྻ,449
‚,410
ན྄,392
ཏ྄,289
བྃ,268
ཪྻཱ,246
རྻཱ,224
མྺཱ,213
ཪྺ,142
ཡྻ,138
པ྄,129
དྻ,122
ང྄,116
ཧྃ,113
ཨྃ,112
རྃ,107
ཊ྄,95
དྻུ,95
ད྄,94
ཀ྄,93
ཛྲཱྀཾ,92
ལྃ,89
ར྄,88
པྃ,84
བྷྲཱུྃ,77
ཪྻཾ,71
ं,71
ཁྃ,66
རྺ,66
ཡྻཱ,65
ྈྐ,64
མྃ,59
ྉྤ,56
ཡྃ,56
ཝྃ,54
ཡ྄,52
དྻཱ,52
ཪྻེ,51
ཤྲྀཾ,50
རྻཾ,43
གྃ,42
ཀྵུྃ,41
ཪྼྀ,41
རྻུ,40
ཊྭཱྃ,40
ལྀཾ,40
ཪྻོ,38
ཪྻུ,37
སྃ,36
ཙྻུ,35
སྨྼྻུཾ,35
རྀཾ,35
ལ྄,34
ཀྃ,33
ཉ྄,32
སུྃ,30
ཙྃ,30
ཀྵྨྼྻུཾ,30
ལཱྀཾ,30
རྻེ,30
ཛྃ,29
རཱྀཾ,29
ཏྲྀཾ,29
ཡྨྼྻུཾ,26
ཡུྃ,25
ཨཱྃ,25
ཏཱྃ,25
ཛྲྀཾ,25
རྻོ,25
གྷྃ,24
ཌྃ,24
ནྃ,23
ཀྵྼ,23
བྷྲྀཾ,22
ཧྨྼྻུཾ,22
ཤྃ,21
ཙ྄,21
ཏྲྃ,21
རྻྻ,20
ཎ྄,20
ལྻུ,19
སྨྼྻུྃ,18
ཏྃ,18
རྺཱ,18
ཀྼྀ,17
ཏྲཱྃ,17
ཏྻ,16
ཪྺཱ,16
ཪྻྻ,15
ཧྨྼྻུྃ,15
ཀྵྨྼྻུྃ,15
ཥ྄,15
ཪྻཻ,14
དྻཱུ,14
ཀྵྼཱྀ,14
ཛ྄,14
མཱྃ,14
བ྄,14
རྺེ,14
བྲྀཾ,13
ཝ྄,13
ཡྨྼྻུྃ,13
ཪྺེ,13
ལཱྃ,12
ྉྤུ,12
ནྻུ,12
ྈྐཱ,12
ངྻ,12
ཧྼྀ,12
སྺ,12
ཧྼཱྀ,12
ཡྻཾ,11
ཀྵྼྀ,11
དྻོ,11
ཀྻ,11
ཀྼ,11
དྃ,11
ག྄,11
ཌྼྀ,11
ཪྻཽ,10
ཪྻཱཾ,10
བྻུ,10
གྼྀ,10
ཀྼཱྀ,10
རྻཽ,10
ཥྼྀ,10
ཀྺ,10
ཀྲྀཾ,10
མྺ,9
ཝྼྀ,9
ཕྃ,9
ལྼྀ,9
ཌྼཱྀ,9
ཡྼྀ,9
པྻུ,9
་ི,8
ཨུྃ,8
གྼཱྀ,8
ཪྼཱྀ,8
པཱྃ,8
ཕུྃ,8
ྉྤཱ,8
ནྻ,8
ཕྲེྃ,8
ཧླཱྀཾ,8
ཨ྄,7
ཡྻཱཾ,7
ཀྵྃ,7
ཪྼི,7
{,7
ཤ྄,7
གྻ,7
ངྼྀ,7
ཎྃ,7
སྟྭྃ,7
ཧྲྀཾ,7
སྻུ,7
བྲུྃ,7
ཡྻོ,7
བྷྻུ,7
བྻཱུ,6
དྼཱྀ,6
ཧཱྃ,6
དྻཽ,6
ཧྻ,6
རྻི,6
ལྼཱྀ,6
རྻཱཾ,6
ཛྼཱྀ,6
ཡྼཱྀ,6
རྒྷྃ,6
ཨོྃ,6
ཧྲླཱྀཾ,6
ཙྼྀ,6
ཀྻཱ,6
ཀྼཱ,6
ཀྺཱ,6
་ོ,6
ཏྻཱ,6
ཛྷྃ,6
ཐྃ,6
དྼྀ,5
མྼཱ,5
རྂ,5
ཛྼྀ,5
ཥྼཱྀ,5
བྼྀ,5
ཪྻི,5
ཊྼྀ,5
བྷྃ,5
ཝྺ,5
ཧྲཱྀཾ,5
ཤྲཱྀཾ,5
ཀྵྼཱ,5
ཉྼྀ,5
ཚྼྀ,5
གྲྀཾ,5
ཧྻཾ,5
ཡྻེ,5
ཧླྀཾ,5
ཧྼཱྀཾ,5
ཌྷྃ,5
ཕྲུྃ,5
བྼཱྀ,5
ངྻུ,5
ཊྃ,5
བཾྃ,5
ཀྵིྃ,5
ཝྼཱྀ,4
ནྼྀ,4
ཪྻཱི,4
རཱྃ,4
ཝཱྃ,4
མྺཱི,4
ཋྼྀ,4
ཊྼཱྀ,4
ཪྺཱི,4
ནྼ,4
ནྻོ,4
ཧྻཱ,4
ཀྵྻ,4
ཀྵྻཱ,4
་ེ,4
ཧྼ,4
ཧྼཱ,4
ཧྺཱ,4
གྷྼྀ,4
ཁྼྀ,4
ཛུྃ,4
ཎྼྀ,4
ཌ྄,4
ཀུྃ,4
ངྃ,4
ཐ྄,4
་ུ,4
ཏྻུ,4
ཧྲཱྃ,4
ཧྲྃ,4
གྷྲྃ,4
ངྻོ,4
རྺི,4
བྷཱུྃ,3
ཏྻཻ,3
ལྀྃ,3
ཨེྃ,3
ཡཱྃ,3
བླྀཾ,3
ཛླྀཾ,3
ཥྻུ,3
ཀྵྨྼྻཱུཾ,3
ལྻ,3
ཀྲུྃ,3
ཨིྃ,3
},3
ངྼཱྀ,3
ཧྲྼྀཾ,3
མུྃ,3
ཀྵྺ,3
ཛྷྼྀ,3
ཥྻ,3
ཧ྄,3
བྷྲུྃ,3
དྻེ,3
ངྻཱ,3
དི༵,3
ཎྼཱྀ,3
ཧྼི,3
རྼྀ,3
ཧྲླྀཾ,3
དྷྭྃ,3
ལ྄ྀ,3
རྻཱུ,3
རྦྷྲྀཾ,3
ཀྵྞྀཾ,3
ཧྐྵྨླྺྼྻྃ,3
ཪྺཾ,3
རྼི,3
དྼྷི,3
རྻཻ,3
ཐྼྀ,3
ནཱྃ,3
ནྲཱྀཾ,3
ནྼཱ,3
ནྼི,3
ཉྃ,3
སྲུྃ,3
ཀྵཱུྃ,3
རྺཾ,3
ཀྵླྀཾ,3
ཀྵླཱྀཾ,3
ཉྫ྄,3
ཏྻཽ,3
ཤྩྻུ,3
ལྦ྄,3
ཪྻྱ,3
ལཱྀྃ,2
ཨཱུྃ,2
ཀྵཱྃ,2
་ཾ,2
ལྺྼྻྐྵ,2
མྼྀ,2
ཛྲཱྀྃ,2
རྡྻུ,2
་ཻ,2
ཪྺི,2
ཨཱིྃ,2
ཀ྄ི,2
དྻི,2
ྉྤཱུ,2
ཁྼི,2
ཧྨྻ,2
ཁྼཱྀ,2
གྷྼཱྀ,2
དྡྻུ,2
ཌྻུ,2
པྻིུ,2
རྩྃ,2
ཀྵྺཱ,2
ཎྜྻཱ,2
ཥྚཱྃ,2
ཪྼ,2
རྻྱ,2
ཤྼྀ,2
ྉྤི,2
ྉྤཾ,2
ཧྼཱཾ,2
རྻྻཱ,2
ཌྼི,2
ཋྼཱྀ,2
ྈྑ,2
ཎཱྃ,2
ཧྻུ,2
ཧྺ,2
ལྺཱ,2
ཧྐྵྨླླྦྼྱྃ,2
དྺཱ,2
དྷྻུ,2
རྨྃ,2
ཪྺཽ,2
རྻྲི,2
རྀྃ,2
བྱཱྃ,2
སྲྀཾ,2
ཧིྃ,2
ཧཱིྃ,2
ཧྲྀྃ,2
ཧྲཱྀྃ,2
ཧླྀྃ,2
ཧླཱྀྃ,2
གྲྃ,2
སྻཱུ,2
ཐྼི,2
ཚྼི,2
ྉྤཽ,2
ཀྵྲྀྃ,2
ཀྵླྀྃ,2
རྻྻོ,2
#,2
རྻྻཽ,2
ཤྼི,2
རྺཽ,2
རྺཻ,2
རྺཱི,2
ཙྻི,2
ཀྵྨྃ,2
ཧྲྼཱྀཾ,2
གྺ,2
དྻཾ,2
ཧྐྵྨླྭྼྻྃ,2
གུྃ,2
ཧྼྀཾ,2
ཀྵྼྀཾ,2
ཀྵྼཱྀཾ,2
ལྂ,2
ཀྵྨྼྻཱུྃ,2
དྷྃ,2
ཏྲོྃ,2
ནྡྻ,1
རྟྻཱ,1
ཙུྃ,1
ཨཻྃ,1
མྺི,1
ཏྤྲྀཾ,1
གླྀཾ,1
རྻྻཾ,1
྅ྫཱ,1
ནྟྲྻ,1
ཋྼཱི,1
དྼཱ,1
ཛཱྀཾ,1
ཛིྃ,1
སྲིྃ,1
བྲཱུྃ,1
ཙྩྼཱི,1
ཚྪྼཱི,1
ཛྫྼཱི,1
ཛྷྫྷྼཱི,1
ཉྙྼཱི,1
ལྺྲྱྷ,1
རྻྀ,1
ལྦྼྀ,1
བྷྼྀ,1
ཕྼྀ,1
པྼྀ,1
རྒྻཱ,1
རྻྻི,1
ལྼི,1
ཡྂ,1
རྒྻ,1
་ྲ,1
བུྃ,1
རྼ,1
ཀྼི,1
ཧྻཽ,1
ྈྐི,1
ྈྐྼྀ,1
ཤྻེ,1
དྷྲྀཾ,1
སྲྺ,1
ནྼཽ,1
ཧྨྼྻུཾཾ,1
ཧྻཻ,1
ནྻཻ,1
ཛ྄ཱ,1
སྻ,1
་ྷ,1
྅ྲ,1
ྉྤྎྤ,1
ྈྐྍྐ,1
ཡྻི,1
ཐྺཱི,1
རྐ྄,1
རྒ྄,1
ཡྻུ,1
྅ྩཱི,1
མ྄ཱ,1
ལྻི,1
གྼི,1
ྉྶ,1
ྉྟ,1
ྉྷ,1
ྉྐྵ,1
ྉྴ,1
ྈྐུ,1
ྈྐྀ,1
ྈྐཾ,1
ྉྤྼྀ,1
ྉྤླྀ,1
སྼཱྀ,1
ཪྻཱུ,1
ཙྻོ,1
ཤྱྃ,1
ཧྻཱཾ,1
ཧྼཾ,1
བྡྻུ,1
སྼུ,1
དྻཻ,1
ཤྲིྃ,1
མྻཻ,1
ཧྭྃ,1
ནྲ྄,1
གྻོ,1
ཀྵ྄,1
རཱྀཾཾ,1
ལཱྀཾཾ,1
ངྼི,1
གྷྼི,1
དྦྷྲྀཾ,1
ཌྷྼཱྀ,1
མྻུ,1
གྻུ,1
་ྲྀ,1
ལྦྷྻཱཾ,1
ཏཱུྃ,1
ལྲ྄྄,1
ལྺ,1
ཧྲྼཾ,1
དྱྃ,1
ཡླྀཾ,1
ཪྻྻཱ,1
ནྡྲ྄ཱྀ,1
ཙྼཱྀ,1
ཚྼཱྀ,1
ཉྼཱྀ,1
ལྻཱུ,1
རྻྼྀ,1
ཀྵྱྲྺླ,1
ཧྻྼྺླ,1
བྻྱ,1
ངྔྼཱི,1
ཪྼཾ,1
ལྺྼྻྷ,1
རྻྲ,1
ནྺ,1
ཀྺཱཱ,1
ཪྻྻཾ,1
རོྃ,1
་ྶྗཱ,1
པྼཱྀ,1
ཕྼཱྀ,1
བྷྼཱྀ,1
མྼཱྀ,1
ཊྚྃ,1
་྄,1
བྲྃ,1
གྷྣྃ,1
ཪཱྀཾ,1
ཨྀི,1
ལིྃ,1
དྷྼྀ,1
ཏྼྀ,1
ཥྟྲ྄,1
ཡྻཽ,1
ཧྼཱུཾ,1
ཨྻཱ,1
ཧྐྵྨླྃ,1
རྻཱི,1
ཁྱྼྀ,1
སྻུཾ,1
ཨྠྀི,1
ཧྐྵྨླྺ,1
ཀྐྼཱི,1
ཁྑྼཱི,1
ཏྻཾ,1
གཱྃ,1
ཛྻོ,1
ཧྼཱི,1
མྺྭཱ,1
གྒྼཱི,1
གྷྒྷྼཱི,1
ཕེྃ,1
ཡ྄ྀ,1
ཐྻཱི,1
རིྃ,1
ཧྼླྀཾ,1
ཧྡྼྀཾ,1
ཏྼཱྀ,1
ཐྼཱྀ,1
དྷྼཱྀ,1
ནྼཱྀ,1
ཀིྃ,1
ནྼཾ,1
ཏྻེ,1
བྷྻ,1
ཧྐྵྨླླྦྼྻྃ,1
ཉྼི,1
ཛྷྼི,1
ཛྼི,1
ཚྃ,1
ཙྼི,1
གྨྻ,1
རྱྻྻ,1
ཧྐྵྨླྺྼྻ,1
པྻྲི,1
ཚ྄ྀ,1
རྟྻུ,1
གྲ྄,1
ཧྲླཱྀྃ,1
སྺྤྵྶྐ,1
ཛྲཱིྃ,1
ཧྐྵྨླྺྼྻཾ,1
ཙྻུཾ,1
ཛྲཱྃ,1
ཧྐྵྨླྭྼྻཾ,1
མྣྻུ,1
ཨཱྀཾ,1
ཛཱྀྃ,1
ཤྻ,1
ཊྚྼཱི,1
ཋྛྼཱི,1
ཌྜྼཱི,1
ཌྷྜྷྼཱི,1
ཎྞྼཱི,1
ཙྪྼྀཾ,1
ཁྻཱ,1
་྄྄྄྄྄྄,1
གྃཾ,1
མྀཾ,1
པ྄ཱཽ,1
དྻོཽ,1
སྨྃ,1
ྉྥ,1
ཀྵྨྲྻུཾ,1
ཧྐྵྨླྺྲྱ,1
ཊྼི,1
ཙྪྼེ,1
ཊིྃ,1
ཀྵྲྀཾ,1
ཀྵྲཱྀཾ,1
ཎྜྻ,1
་ྱ,1
ཐྐྼི,1
ཐྐྃ,1
ཥྃ,1
ཏྻཱཾ,1
རྻྻེ,1
ཧྱྃ,1
ཀྵྨྲྱུྃ,1
ཎྼི,1
ཌྷྼི,1
ཋྼི,1
ཋྃ,1
་ིཾ,1
ྉྤྼི,1
ྉྤླི,1
ྉྤྃ,1
སྼི,1
རྺཱེ,1
་ྒྱུ,1
རྻྻྻཽ,1
ཧྲཱུྃ,1
རྻྻཻ,1
སྲ྄,1
སཱྃ,1
ྉྦཱྃ,1
ཥཱྃ,1
ཤཱྃ,1
ྈྐཱྃ,1
ངྼ,1
ངྺ,1
ངྷྃ,1
གྷྻ,1
གྷྼ,1
གྷྺ,1
གྷྷྃ,1
གྼ,1
རྵྻ,1
པྤྼཱི,1
རྦིྃ,1
མྟ྄,1
ཙྼཱི,1
ཨཽྃ,1
ཅྃ,1
རྱྃ,1
་ྒ,1
རྦྃ,1
ཤྻུ,1
ཤྲཱིྃ,1
ཀྵྨཱིྃ,1
གྲྻཾ,1
ཛྻུ,1
ཎྼཱ,1
ཧྼཱིཾ,1
ཧྼླཱིཾ,1
རྻྲེ,1
པྲྃ,1
རྼོ,1
ཕྥྼཱི,1
བྦྼཱི,1
བྷྦྷྼཱི,1
མྨྼཱི,1
ཏྻི,1
ཛྲིྃ,1
ཥྃཾ,1
ཁྻ,1
ཁྼ,1
ཁྺ,1
ཁྷྃ,1
ཀྷྃ,1
སྺྤྵྴྛྐ,1
ནྻཱུ,1
ཤྴྼཱི,1
ཐྐྠྐྼཱི,1
དྻྻཱ,1
ཧྲཱིྃ,1
ཁྲུྃ,1
ཧོྃ,1
ཧྐྵྨླྺྼྻཱུཾ,1
ནྻཱ,1
་ྟ,1
྅ྫ,1
མྨ྄,1
ཀྵྨྻུཾ,1
ཀྱ྄,1
ཏྟ྄,1
ཀཱྃ,1
’,1
ཤྩྻོ,1
རྺཱཾ,1
སྭྃ,1
ཪྻྱཾ,1
ཌྲྀཾ,1
རཱྀྃ,1
མྼི,1
བྷྼི,1
རྒྻོ,1
ཏྟྼཱི,1
ཐྠྼཱི,1
དྡྼཱི,1
དྷྡྷྼཱི,1
ནྣྼཱི,1
སྟུྃ,1
ཛྲྀྃ,1
བྷུྃ,1
ནྻཾ,1
ཊྷྲྼྀ,1
ཛྼིཾ,1
ཙྻྻུ,1
བྼི,1
ཕྼི,1
པྼི,1
ཀྐྺཱ,1
ཀྐྼཱ,1
ཀྐྻཱ,1
ཁྑྺཱ,1
ཁྑྼཱ,1
ཁྑྻཱ,1
གྒྺཱ,1
གྒྼཱ,1
གྒྻཱ,1
གྷྒྷྺཱ,1
གྷྒྷྼཱ,1
གྷྒྷྻཱ,1
ངྔྺཱ,1
ངྔྼཱ,1
ངྔྻཱ,1
ཊྚ྄,1
གྻཱ,1
ྉྦ,1
ཏྲཱུྃ,1
སིྃ,1
དྼོ,1
ཊུྃ,1
ཥྚྀཾ,1
་ྷཱ,1
྅ྐ,1
྅ྤྲ,1
་ཱ,1
ཏྲྻཱ,1
ཪྻཾཾ,1
བ྄ི,1
ཏྟྼིཾ,1
དྷྼི,1
དྼི,1
ཏྼི,1
བཱྃ,1
ྉྤྼྤ,1
ྈྐྠྐ,1
ཪྻྻཻ,1
